HeadSize,Length,StrungWeight,UnStrungWeight,SwingWeight,Balance,Stiffness,BeamWidth1,BeamWidth2,BeamWidth3,NumMains,NumCrosses,MinStringTension,MaxStringTension,StringDensity,Brand,Model,WeightFromName
104.0,69.9,306.0,290.0,311.0,32.99,64.0,22.0,22.0,22.0,16.0,19.0,22.0,27.0,0.34210526315789475,Wilson,WilsonBlade104v9,
97.0,68.5,283.0,270.0,301.0,33.02,67.0,23.5,23.5,23.5,16.0,19.0,22.0,27.0,0.3190789473684211,Wilson,WilsonProStaff97ULV14.0,
98.0,68.5,326.0,310.0,327.0,31.75,60.0,24.0,24.0,24.0,16.0,20.0,22.0,27.0,0.30625,Wilson,WilsonClash98V2.0,
100.0,68.5,275.0,260.0,286.0,33.99,68.0,24.0,26.5,24.5,16.0,19.0,21.0,25.0,0.32894736842105265,Wilson,WilsonUltra100ULV4.0,
97.0,68.5,332.0,315.0,325.0,32.0,66.0,21.5,21.5,21.5,16.0,19.0,22.0,27.0,0.3190789473684211,Wilson,WilsonProStaff97V14.0,
98.0,68.5,323.0,305.0,322.0,33.32,67.0,21.0,23.0,21.0,16.0,19.0,22.0,26.0,0.3223684210526316,Babolat,BabolatPureDrive98,
98.0,68.5,323.0,305.0,321.0,32.49,65.0,21.0,23.0,22.0,16.0,20.0,22.0,26.0,0.30625,Babolat,BabolatPureAero98(x1),
97.0,68.5,332.0,310.0,321.0,31.98,63.0,21.0,22.0,21.0,16.0,20.0,21.0,25.0,0.303125,Babolat,BabolatPureStrike97,
98.0,68.5,337.0,320.0,325.0,31.98,58.0,20.0,20.0,20.0,16.0,19.0,21.0,25.0,0.3223684210526316,Head,HEADPrestigePro202316x19,
100.0,68.5,326.0,310.0,326.0,32.49,62.0,23.0,23.0,23.0,18.0,20.0,21.0,25.0,0.2777777777777778,Head,HeadSpeedProBlack2023,
100.0,68.5,329.0,310.0,333.0,32.51,60.0,23.0,23.0,23.0,18.0,20.0,21.0,25.0,0.2777777777777778,Head,HEADSpeedPro2024,
99.0,68.5,318.0,300.0,309.0,32.49,61.0,21.5,21.5,21.5,16.0,19.0,21.0,25.0,0.3256578947368421,Head,HeadPrestigeMPL2023,
105.0,69.1,283.0,270.0,306.0,33.48,61.0,24.0,24.0,24.0,16.0,19.0,21.0,25.0,0.34539473684210525,Head,HEADSpeedTeam2024,
100.0,68.5,295.0,280.0,313.0,33.48,60.0,23.0,23.0,23.0,16.0,19.0,21.0,25.0,0.32894736842105265,Head,HEADSpeedMPL2024,
100.0,68.5,323.0,305.0,319.0,32.99,63.0,22.0,22.0,22.0,18.0,20.0,21.0,25.0,0.2777777777777778,Head,HEADGravityTour2023,
