,names,links,brand
0,Babolat Pure Drive 30th Anniversary Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_30th_Anniversary_Tennisschl_xE4_ger/descpageRCQBA-BRPD30-DE.html,Babolat
1,Babolat Pure Drive 98 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_98_Tennisschl_xE4_ger/descpageRCQBA-PD98U-DE.html,Babolat
2,Babolat Pure Drive Wimbledon Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Wimbledon_Tennisschl_xE4_ger/descpageRCQBA-BBPDW-DE.html,Babolat
3,Babolat Pure Drive Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Tennisschl_xE4_ger/descpageRCQBA-BRPDR-DE.html,Babolat
4,Babolat Pure Drive Plus Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Plus_Tennisschl_xE4_ger/descpageRCQBA-BRPDP-DE.html,Babolat
5,Babolat Pure Drive Team Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Team_Tennisschl_xE4_ger/descpageRCQBA-BRPTE-DE.html,Babolat
6,Babolat Pure Drive Lite Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Lite_Tennisschl_xE4_ger/descpageRCQBA-BRPDL-DE.html,Babolat
7,Babolat Pure Drive Super Lite Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Super_Lite_Tennisschl_xE4_ger/descpageRCACQBA-BRPDSL-DE.html,Babolat
8,Babolat Pure Drive 110 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_110_Tennisschl_xE4_ger/descpageRCQBA-BRPD11-DE.html,Babolat
9,Babolat Pure Aero Rafa Origin Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Rafa_Origin_Tennisschl_xE4_ger/descpageRCQBA-PAROR-DE.html,Babolat
10,Babolat Pure Aero Rafa Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Rafa_Tennisschl_xE4_ger/descpageRCQBA-PARRA-DE.html,Babolat
11,Babolat Pure Aero 98 (x1) Tennisschl&#xE4;ger ,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_98_x1_Tennisschl_xE4_ger/descpageRCQBA-BPAR98-DE.html,Babolat
12,Babolat Pure Aero 98 x2 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_98_x2_Tennisschl_xE4_ger/descpageRCQBA-BPAD98-DE.html,Babolat
13,Babolat Pure Aero 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_2023_Tennisschl_xE4_ger/descpageRCQBA-BPAR22-DE.html,Babolat
14,Babolat Pure Aero Plus 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Plus_2023_Tennisschl_xE4_ger/descpageRCQBA-BPAPL-DE.html,Babolat
15,Babolat Pure Aero Team 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Team_2023_Tennisschl_xE4_ger/descpageRCQBA-BPAT22-DE.html,Babolat
16,Babolat Pure Aero Lite 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Aero_Lite_2023_Tennisschl_xE4_ger/descpageRCQBA-BPALT-DE.html,Babolat
17,Babolat Pure Strike 16x19 (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_16x19_2024_Tennisschl_xE4_ger/descpageRCQBA-PSRKT-DE.html,Babolat
18,Babolat Pure Strike 18x20 (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_18x20_2024_Tennisschl_xE4_ger/descpageRCQBA-PSSTRR-DE.html,Babolat
19,Babolat Pure Strike 100 (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_100_2024_Tennisschl_xE4_ger/descpageRCQBA-STRPS-DE.html,Babolat
20,Babolat Pure Strike 97 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_97_Tennisschl_xE4_ger/descpageRCQBA-PS97S-DE.html,Babolat
21,Babolat Pure Strike 97 Tennisschl&#xE4;ger (x2),https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_97_Tennisschl_xE4_ger_x2/descpageRCQBA-PS97D-DE.html,Babolat
22,Babolat Pure Strike 100 16x20 (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_100_16x20_2024_Tennisschl_xE4_ger/descpageRCQBA-PS1620-DE.html,Babolat
23,Babolat Pure Strike Lite (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Lite_2024_Tennisschl_xE4_ger/descpageRCQBA-PSLITE-DE.html,Babolat
24,Babolat Pure Strike Team (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Team_2024_Tennisschl_xE4_ger/descpageRCQBA-PSTRKT-DE.html,Babolat
25,Babolat Pure Strike Tour Tennisschl&#xE4;ger (Besaitet),https://www.tenniswarehouse-europe.com/Babolat_Pure_Strike_Tour_Tennisschl_xE4_ger_Besaitet/descpageRCQBA-BPSTTOS-DE.html,Babolat
