,names,links,brand
0,Tecnifibre TF40 (315g) 18x20 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_315g_18x20_Tennisschl_xE4_ger/descpageRCTECNIH-TF40R8-DE.html,Technifibre
1,Tecnifibre TF40 (305g) 16x19 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_305g_16x19_Tennisschl_xE4_ger/descpageRCTECNIH-TF40R1-DE.html,Technifibre
2,Tecnifibre TF40 (305g) 18x20 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_305g_18x20_Tennisschl_xE4_ger/descpageRCTECNIH-TF40R2-DE.html,Technifibre
3,Tecnifibre TF40 (290g) 16x19 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_290g_16x19_Tennisschl_xE4_ger/descpageRCTECNIH-TF40R9-DE.html,Technifibre
4,Tecnifibre TF40 (315g) 16x19 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_315g_16x19_Tennisschl_xE4_ger/descpageRCTECNIH-TF40R5-DE.html,Technifibre
5,Tecnifibre TF40 (305) 18x20 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_305_18x20_Tennisschl_xE4_ger/descpageRCTECNIH-TF3058-DE.html,Technifibre
6,Tecnifibre TF40 (305) 16x19 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_305_16x19_Tennisschl_xE4_ger/descpageRCTECNIH-TF3056-DE.html,Technifibre
7,Tecnifibre TF40 (315) 16x19 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_315_16x19_Tennisschl_xE4_ger/descpageRCTECNIH-TF3156-DE.html,Technifibre
8,Tecnifibre TF40 (315) 18x20 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF40_315_18x20_Tennisschl_xE4_ger/descpageRCTECNIH-TF3158-DE.html,Technifibre
9,Tecnifibre TFight ISO 305 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TFight_ISO_305_Tennisschl_xE4_ger/descpageRCTECNIH-ISO305-DE.html,Technifibre
10,Tecnifibre TFight ISO 315 Tennisschl&#xE4;ger ,https://www.tenniswarehouse-europe.com/Tecnifibre_TFight_ISO_315_Tennisschl_xE4_ger/descpageRCTECNIH-ISO315-DE.html,Technifibre
11,Tecnifibre TFight ISO 300 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TFight_ISO_300_Tennisschl_xE4_ger/descpageRCTECNIH-ISO300-DE.html,Technifibre
12,Tecnifibre TFight ISO 295 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TFight_ISO_295_Tennisschl_xE4_ger/descpageRCTECNIH-ISO295-DE.html,Technifibre
13,Tecnifibre TFight ISO 280 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TFight_ISO_280_Tennisschl_xE4_ger/descpageRCTECNIH-ISO280-DE.html,Technifibre
14,Tecnifibre TF-X1 300 v2 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF_X1_300_v2_Tennisschl_xE4_ger/descpageRCTECNIH-TFX132-DE.html,Technifibre
15,Tecnifibre TF-X1 285 v2 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF_X1_285_v2_Tennisschl_xE4_ger/descpageRCTECNIH-TFX182-DE.html,Technifibre
16,Tecnifibre TF-X1 270 v2 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF_X1_270_v2_Tennisschl_xE4_ger/descpageRCTECNIH-TFX170-DE.html,Technifibre
17,Tecnifibre TF-X1 305 v2 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF_X1_305_v2_Tennisschl_xE4_ger/descpageRCTECNIH-TFX135-DE.html,Technifibre
18,Tecnifibre TF-X1 255 v2 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF_X1_255_v2_Tennisschl_xE4_ger/descpageRCTECNIH-TFX155-DE.html,Technifibre
19,Tecnifibre TF-X1 275 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TF_X1_275_Tennisschl_xE4_ger/descpageRCTECNIH-TRFX17-DE.html,Technifibre
20,Tecnifibre Tempo 275 (2022) Racket,https://www.tenniswarehouse-europe.com/Tecnifibre_Tempo_275_2022_Racket/descpageRCTECNIH-TRP275-DE.html,Technifibre
21,Tecnifibre Tempo 298 Iga Tennisschl&#xE4;ger (2022),https://www.tenniswarehouse-europe.com/Tecnifibre_Tempo_298_Iga_Tennisschl_xE4_ger_2022/descpageRCTECNIH-TTIG22-DE.html,Technifibre
22,Tecnifibre TFight Tour 26 Kinder Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TFight_Tour_26_Kinder_Tennisschl_xE4_ger/descpageRCTECNIH-TTFT26-DE.html,Technifibre
23,Tecnifibre Tempo Iga 26 Racket,https://www.tenniswarehouse-europe.com/Tecnifibre_Tempo_Iga_26_Racket/descpageRCTECNIH-TTI26-DE.html,Technifibre
24,Tecnifibre TFight Tour 25 Kinder Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Tecnifibre_TFight_Tour_25_Kinder_Tennisschl_xE4_ger/descpageRCTECNIH-TTFT25-DE.html,Technifibre
25,Tecnifibre Tempo Iga 25 Racket,https://www.tenniswarehouse-europe.com/Tecnifibre_Tempo_Iga_25_Racket/descpageRCTECNIH-TTI25-DE.html,Technifibre
26,Tecnifibre Tempo Iga 23 Racket,https://www.tenniswarehouse-europe.com/Tecnifibre_Tempo_Iga_23_Racket/descpageRCTECNIH-TTI23-DE.html,Technifibre
