,names,links,brand
0,V&#xf6;lkl Vostra V10 (320g) Tennisschl&#xe4;ger,https://www.tenniswarehouse-europe.com/V_xf6_lkl_Vostra_V10_320g_Tennisschl_xe4_ger/descpageRCVOLKLGH-VOSV10B-DE.html,Volkl
1,V&#xf6;lkl Vostra V10 (300g) Tennisschl&#xe4;ger,https://www.tenniswarehouse-europe.com/V_xf6_lkl_Vostra_V10_300g_Tennisschl_xe4_ger/descpageRCVOLKLGH-VOSV10-DE.html,Volkl
2,V&#xf6;lkl Vostra V5 Tennisschl&#xe4;ger,https://www.tenniswarehouse-europe.com/V_xf6_lkl_Vostra_V5_Tennisschl_xe4_ger/descpageRCVOLKLGH-VOSV5-DE.html,Volkl
3,V&#xf6;lkl Vostra V2 Tennisschl&#xe4;ger,https://www.tenniswarehouse-europe.com/V_xf6_lkl_Vostra_V2_Tennisschl_xe4_ger/descpageRCVOLKLGH-VOSV2-DE.html,Volkl
4,V&#xF6;lkl Vostra V9 (305g) 2024 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/V_xF6_lkl_Vostra_V9_305g_2024_Tennisschl_xE4_ger/descpageRCVOLKLGH-VOV9-DE.html,Volkl
5,V&#xF6;lkl Vostra V9 (290g) Tennisschl&#xE4;ger 2024,https://www.tenniswarehouse-europe.com/V_xF6_lkl_Vostra_V9_290g_Tennisschl_xE4_ger_2024/descpageRCVOLKLGH-VOVS9-DE.html,Volkl
6,V&#xF6;lkl&#xC2;&#xA0;Vostra 8 (315g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/V_xF6_lkl_xC2_xA0_Vostra_8_315g_Tennisschl_xE4_ger/descpageRCVOLKLGH-VOSV8H-DE.html,Volkl
7,V&#xF6;lkl Vostra 8 (300g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/V_xF6_lkl_Vostra_8_300g_Tennisschl_xE4_ger/descpageRCVOLKLGH-VOSV8M-DE.html,Volkl
8,V&#xF6;lkl&#xC2;&#xA0;Vostra 8 (285g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/V_xF6_lkl_xC2_xA0_Vostra_8_285g_Tennisschl_xE4_ger/descpageRCVOLKLGH-VOSV8L-DE.html,Volkl
9,V&#xF6;lkl Vostra 6 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/V_xF6_lkl_Vostra_6_Tennisschl_xE4_ger/descpageRCVOLKLGH-VOSV6-DE.html,Volkl
