,names,links,brand
0,Yonex VCORE Galaxy Black 98 (285g) Rackets (2) Used,https://www.tenniswarehouse-europe.com/Yonex_VCORE_Galaxy_Black_98_285g_Tennisschlager/descpageRCYONEX-VC98LB-DE.html,Yonex
1,Yonex VCORE 100 Sand Beige (300g) (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_100_Sand_Beige_300g_2024_Tennisschl_xE4_ger/descpageRCYONEX-VC10SB-DE.html,Yonex
2,Yonex VCORE 100L Sand Beige (280g) (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_100L_Sand_Beige_280g_2024_Tennisschl_xE4_ger/descpageRCYONEX-VC1LSB-DE.html,Yonex
3,Yonex VCORE 98 Sand Beige (305g) (2024) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_98_Sand_Beige_305g_2024_Tennisschl_xE4_ger/descpageRCYONEX-VC98SB-DE.html,Yonex
4,Yonex VCORE 100 (300g) 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_100_300g_2023_Tennisschl_xE4_ger/descpageRCYONEX-VCR100-DE.html,Yonex
5,Yonex VCORE 100L (280g) 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_100L_280g_2023_Tennisschl_xE4_ger/descpageRCYONEX-YVC280-DE.html,Yonex
6,Yonex VCORE 98 Tour 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_98_Tour_2023_Tennisschl_xE4_ger/descpageRCYONEX-YVC98T-DE.html,Yonex
7,Yonex VCORE 98 (305g) 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_98_305g_2023_Tennisschl_xE4_ger/descpageRCYONEX-YVC98-DE.html,Yonex
8,Yonex VCORE 98L (285g) 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_98L_285g_2023_Tennisschl_xE4_ger/descpageRCYONEX-YVC98L-DE.html,Yonex
9,Yonex VCORE 95 (310g) 2023 Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_VCORE_95_310g_2023_Tennisschl_xE4_ger/descpageRCYONEX-YVC95-DE.html,Yonex
10,Yonex VCORE Ace (260g) 2023 Tennisschl&#xE4;ger (Besaitet),https://www.tenniswarehouse-europe.com/Yonex_VCORE_Ace_260g_2023_Tennisschl_xE4_ger_Besaitet/descpageRCYONEX-VCA25-DE.html,Yonex
11,Yonex VCORE Game 100 (265g) 2023 Tennisschl&#xE4;ger (Besaitet),https://www.tenniswarehouse-europe.com/Yonex_VCORE_Game_100_265g_2023_Tennisschl_xE4_ger_Besaitet/descpageRCYONEX-YVCG27-DE.html,Yonex
12,Yonex EZONE 100 (300g) Aqua Night Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_100_300g_Aqua_Night_Tennisschl_xE4_ger/descpageRCYONEX-EZOA10-DE.html,Yonex
13,Yonex EZONE 100L (285g) Aqua Night Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_100L_285g_Aqua_Night_Tennisschl_xE4_ger/descpageRCYONEX-EZ100L-DE.html,Yonex
14,Yonex EZONE 98 (305g) Aqua Night Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_98_305g_Aqua_Night_Tennisschl_xE4_ger/descpageRCYONEX-YEZO98-DE.html,Yonex
15,Yonex EZONE 98 Tour (315g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_98_Tour_315g_Tennisschl_xE4_ger/descpageRCYONEX-EZR98T-DE.html,Yonex
16,Yonex EZONE 98 (305g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_98_305g_Tennisschl_xE4_ger/descpageRCYONEX-EZO98-DE.html,Yonex
17,Yonex EZONE 100 (300g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_100_300g_Tennisschl_xE4_ger/descpageRCYONEX-EZO10-DE.html,Yonex
18,Yonex EZONE 98L (285g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_98L_285g_Tennisschl_xE4_ger/descpageRCYONEX-EZ98L-DE.html,Yonex
19,Yonex EZONE 100L (285g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_100L_285g_Tennisschl_xE4_ger/descpageRCYONEX-EZO10L-DE.html,Yonex
20,Yonex EZONE 100 SL (270g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_100_SL_270g_Tennisschl_xE4_ger/descpageRCYONEX-EZO270-DE.html,Yonex
21,Yonex EZONE 105 (275g) Tennisschl&#xE4;ger,https://www.tenniswarehouse-europe.com/Yonex_EZONE_105_275g_Tennisschl_xE4_ger/descpageRCYONEX-EZ105-DE.html,Yonex
