HeadSize,Length,StrungWeight,UnStrungWeight,SwingWeight,Balance,Stiffness,BeamWidth1,BeamWidth2,BeamWidth3,NumMains,NumCrosses,MinStringTension,MaxStringTension,StringDensity,Brand,Model
100.0,68.0,301.0,286.0,300.0,34.0,68.0,23.0,26.0,24.0,16.0,19.0,22.0,27.0,0.32894736842105265,Wilson,WilsonRolandGarrosEquipeHP
98.0,68.0,313.0,295.0,299.0,33.0,62.0,20.0,20.0,20.0,18.0,16.0,22.0,27.0,0.3402777777777778,Wilson,WilsonBlade98Sv9
98.0,68.0,323.0,305.0,324.0,33.0,62.0,21.0,21.0,21.0,16.0,19.0,22.0,27.0,0.3223684210526316,Wilson,WilsonBlade9816x19v9
100.0,68.0,295.0,280.0,299.0,33.0,64.0,24.0,26.0,24.0,16.0,19.0,22.0,27.0,0.32894736842105265,Wilson,WilsonUltra100LV4.0
103.0,68.0,278.0,264.0,308.0,34.0,68.0,23.0,23.0,23.0,16.0,20.0,22.0,27.0,0.321875,Wilson,WilsonBladeFeel103
100.0,68.0,332.0,315.0,322.0,32.0,66.0,21.0,21.0,21.0,16.0,19.0,22.0,27.0,0.32894736842105265,Wilson,WilsonProStaffX
100.0,69.0,303.0,284.0,304.0,33.0,59.0,23.0,26.0,23.0,16.0,19.0,22.0,26.0,0.32894736842105265,Wilson,WilsonSixLV
99.0,68.0,295.0,,296.0,33.0,69.0,22.0,24.0,22.0,16.0,18.0,22.0,27.0,0.34375,Wilson,WilsonBladeFeel100
100.0,68.0,283.0,265.0,304.0,34.0,65.0,22.0,22.0,22.0,16.0,19.0,22.0,27.0,0.32894736842105265,Wilson,WilsonBlade100ULv9
101.0,68.0,289.0,274.0,308.0,34.0,69.0,23.0,23.0,23.0,16.0,20.0,22.0,27.0,0.315625,Wilson,WilsonBlade101Lv9
99.0,68.0,301.0,285.0,311.0,32.0,68.0,23.0,23.0,23.0,16.0,20.0,21.0,26.0,0.309375,Wilson,WilsonUSOpenShift99L(285g)
100.0,68.0,318.0,300.0,322.0,33.0,60.0,22.0,22.0,22.0,16.0,19.0,22.0,27.0,0.32894736842105265,Wilson,WilsonBlade100v9
100.0,68.0,312.0,295.0,313.0,32.0,57.0,24.0,24.0,24.0,16.0,19.0,22.0,27.0,0.32894736842105265,Wilson,WilsonMinionsClash100v2
99.0,68.0,301.0,285.0,311.0,32.0,68.0,23.0,23.0,23.0,16.0,20.0,21.0,26.0,0.309375,Wilson,WilsonShift99L(285g)
99.0,68.0,318.0,300.0,320.0,32.0,68.0,23.0,23.0,23.0,16.0,20.0,21.0,26.0,0.309375,Wilson,WilsonShift99(300g)
